name,text_ingradiant,food_method
??????????????????????,"- ????????????????????? 2 ????
- ?????????????? 1 ????
- ?????????????????? 1 ????
- ??????????? 6 ??
- ????????????????? 2 ??
- ?????????? 2 ????
- ????????
- ????????
- ??????
- ??????

## ?????????????????

- ???????? 5 ????
- ?????????? ? 7 ????
- ?????????????? 2 ????????
- ????????????????? 1/4 ????
- ????????? 1 ??????
- ???????? 1 ????????
- ??????? 11 ????
- ????????? 1 ????????
- ????????????????? ??????????? 1/4 ????",?????????????? ?????????????????????????? ?????????????????????? ? ????? ?????????????????????? ? ????????????? ????????????? ????????????????????????????????????????? ?????????????? ??????????????????????????? ?????????????????????????????? ????????????????????????? ????????????????????????????? ?????????????????????? ??????????? ?????????? ???????????????????????????
????????????,"- ??? 2 ??????
- ??????? 4 ??????????????????? 2 ???
- ?????
- ??????
- ?????","????????????? (??????????????????????????) ???????????????? ???????????????????????????? ??????? 2 ??? ??????????? ?????????????????????? 3 ???? ??????????????????????? 4-5 ???? ?????????????????????????????????????? ????????????????????????? ?????????????? ??????????????????????????? 2 ??? ????????? ????????????? ????? ??????????????????????????? ???????????????????????????????????????????????????????????????



**????????** ???????????????? ????????????? ???????????????? ???????????? ????????????????????????? ??????????????????????????? ??????????????? 2 ???? ????????????????????????????????????? ?????????? 8 ??? ????????????? 16 ???"
??????????????????????,"- ???????? 1/2 ????????
- ?????? 1 ????
- ??????? 1 ????????
- ??????
- ????? ??????????
- ?????????
- ??????
- ???????
- ?????","???????????????????????? 1/2 ?????? ???????????????????????????? ??????????????????????????????????????????? ??????????????? ??????????????????????? ???? ? ???????????? ????????????????????????????????????????????????? ?????????????????????????? ????????????????????????? ??????????????????????????? ????????????????????? ??????? ??????????????????????????????? ??????????????????????????? ???????????????????????????? ???????????????? ????????????????????????????? ??????????????? ? ?????????????? ?????????????????? ?????? ??????? ?????? ????? ??????????



**????????** ?????? ???????????????????????? ???????????????? ???????????????? ? ?????????????????????? ????????????????????? ????????????????????????? ????????????????????? ?????????????? ????????????????"
??????????,"- ???????? (????????????????????) 1 ???
- ??????? 3 ??? ????????????
- ??????? 4 ???
- ????????? 1 ??? ???????????
- ?????????????? 1/2 ??????
- ???????? 1 ????????
- ?????????? 1/2 ??????
- ????????? 1/2 ??????
- ?????????? 1 ??????",??????????????????????????????????????????? (??????????????) ??????????????????????????????? ???????????? ?????????????????????????????????????????? ?????????????????????????????????????????????????? ????????????????????????? ???????????????????????????????????????????????????????????????? ????????? ??????????? 1 ?????? ??????? 1 ?????? ????????????????? (??????????????????????????????????) ?????????? ?????? 4 ??? 15 ???? ???????????????????????? ????????????????????????????????????????????????? ???????????????????????????????????? ? ????????????? ????????????????? 4 ??????????????????? 3 ????????? ?????????????????? ???????????? ????? ??????? ?????????? ??????????????????????????? ?????????????????? ??????? (???????????????) ????????????????????????? ??????????????????????????????????????????????? ?????????????????????????????? ??????????????????????????? ???????????????????????????? ? ?????????????? ????????????????????????????????????? ??????????????????? ? ??? ? ?????????????? ????? 1 ????????? 4 ??? ????????? ????????????????????? ???????????????????????????????????????????????????????????? (??????????????????) ????????????????????????????????????????????? ???????????????????????? (?????????????????? ???????????????????????????) ??????????????? ???????????????????????? ????????????????????????? ??????????????? ??? ??????????????? ??????? ???????? ???????????????? ????????? ???????? ? ???????????? ? ????????? ?????????????????????????? ? ??????????? ?????????????????????????
????????????????,"- ???????? 6 ???????
- ???????????????????????????? 1/2 ??????
- ???????????????????????????????? 1 ??????
- ??????????????????????????????????? 1/2 ??????
- ???????
- ?????
- ??????????????
- ??????
- ?????????? 3 ???????????????
- ???????????????????????????????",????????????????????????????????????? ??????????????? ??????????????? ??????? ?????????????? ?????? ???????????????????? ?????????????????????????????? ???????????????????????????? ???????????????????????????????????????????????????????????????????? ????????????????????????????????? ??????????????????????????? ?????????????????????????????? ?
????????,"## ?????????

- ?????? 4 ???
- ??????????????????? 120 ????
- ?????????? 100 ????
- ???? 1/2 ??????
- ???????????? 1 ??????
- ???????? 2 ????????
- ???? 2 ????????

## ?????????????????????? (?????????)

- ?????????????? 1 ????
- ?????????? 2 ????????
- ??????? 1 ??????

## ???????????????????????????????? (?????????)

- ???????????? 1/2 ????
- ??????? 2 ????????
- ???????? 2 ????????
- ???? 1/4 ????","## ?????????????????????????????



????????????? ?????? ????????????????????? ??????????????? 5 ???? ?????????????????????????????????????? ????????????????????????????



## ?????????????????????????????????



??????????????? ??????? ?????? ???????? ????????????????? ??????????????? ????????? ???? ? ?????????????????????? ??????????????? ????????? ???? ? ??????????????????????



## ???????????????



??????????????????????????????????????? (??????????????????????????????????) ??????????????????????? ???????? ? ???????????????? ???????????????? ???? ??????????? ????? ? ?????????? ??????????????????????????????????????????? 3/4 ????????



## ?????????



????????????????????? 180°C ?????? 10 ???? ????????????????? 15-20 ???? ???????????????????????? ??????????????? ?????????? ??????????????????"
?????????,"- ????????????? 3 ???
- ?????????????? ? 3 ?????
- ???????????????????
- ?????????
- ??????
- ????????",????????????????? ?????????? ??????????????????? 2 ??? ??????????? ????????????????????????? ???????????????????????? ????????????????????????????? ?????????????????????? ?????????????? ???????????? ?????????????? ???????????????????????? ??????????????????? ??????????????????????? ????????????? ?
???????????,"- ?????????? 10 ???
- ??? 1/2 ????????
- ?????? 2 ???
- ???????? 10 ???????? ?
- ?????????????
- ??????? 10 ????
- ???????
- ???????","???????????????????? ??????????????????????????? ????????????????????????????????????? ???????????????? ? ?????????? 5 ???? ???????? ??????????? ??????? ???????? ?????????????? ???????????????? ?????????????? ??????? ?????????????????? ????????????????????? ??????????????? ? ??? ? ??????????????????????? ?????????????? 1 ???? ??????????????????????? 2 ?????????????? ????????????????? 25 ???? ??????????????????? ? ?????????????????????????????? ???????????????? ??????????????? ? ????????????????????????? ? ???????????



**????????** ???????????????????????????????????? ??????????????"
????????????????,"- ?????????????????????? 1 ??????
- ??????????? 1 ??????
- ???????????????? 1 ????????
- ??????? 1 ??????
- ?????? 10 ???
- ???? 1 ??????
- ????? 1 ????????
- ???????? 1-2 ????????
- ??? ???? ?????? 4 ????",????????????????????? ?????????????????????? ??????????????????????????????????????????????? ????????????????????????? ????????????????????????? 1-2 ???????????????? ????????????????
????????,"- ???????????????????????? 1 ???????????
- ???????????? 2 ???
- ?????? ???????? ????????? 1 ????????
- ?????????? ??????? 1/2 ??????","?????????????? ? ???? 2*3 ????????? ??????????????????????????????????????? ???????????????????????? ?????????????????????? ??????????????? ? ???????????????????????? 3*3 ????????? ????????????? ???????????????? ??????????????????????????????????? ??????????????????????????? ?????????? ?????? ??????????????? ????????????????????????????????????????????????????????? ?????????? ????????????????????



**????????** ?????????? ??????????????? ?????????????????????? ???? ????????? ?????????? ??????????? ?????????? ????????????????????? ???????????????????????? ?????????????????????? ???????????????????????? ?????????????????? ??????????????????????????????? ?????????????????????????"
????????????????????????,"- ?????????????? 1 ???
- ?????????????????? 1 ???
- ??????? 1/2 ????
- ???????????? 1/2 ??????
- ????????????? 10 ???? ???????? 2 ???
- ???????????????",??????????????????????????? ??????????? ? ?????? 1/2 ???? ????????????????? ????????????????????????????????????? ??????????? ???????????????????????????????????????? ??????????????????????? ????????????????????????? ???????????? ????????????? ?????????? ? ?????????????????? ?????????????????????????
?????????????,"- ?????????????? ?????????????????????? 4 ????
- ??????????????????? 1/2 ????
- ?????????????????????? 2 ????????
- ????????? 3 ????????
- ?????????
- ??????",???????????????????????????????????????????????????????????????????? ??????????????? ??????????????????????????? ??????????????????? ????????? ??????????????????????????????????????? ????????????????????????????? ????????????????????????????????? ?????????????? ????????????????????????????????????
??????????????,"- ?????????? 5 ???
- ??????? 3 ???
- ??????? 1/2 ??????
- ???????????????? 1/2 ??????
- ????????? 5 ??????",??????????????????????????????? ??? ??????????? ? ????????????????????? ?????? ??????????????????????????? ????????????????????????????????????? ????????????????????????????????????????????? ???????????????????????????????? ????????????????????????????????????????????????????????? ? ??????? ???????????????????????????????????????????
??????????????,"- ??????? 1 ???
- ???????????? 2 ????????
- ???????? 3 ??? (???????????? 2 ???)
- ????????
- ?????????",???????????????? ?????????????????????????????????????????????????????? ???????????????? ???????????????????????????? ??????????????????????????? ??????????????????? ??????????????????????????????????????????????????????? 1 ???????????????????? ????????????????????????????????????????? ?????????????????? 2 ???? ?????????????????????????? ?????????????????? ????????????????????????????? ??????????????????????????????????????????????????????
??????????,"- ???? 1 ??
- ?????? 1/2 ???????? (??? 3 ????)
- ????????",????????????? ???????????????????????? ???????????????????????? 1 ??? ???????????? ??????????????????????? ?????????????????????
?????????," - ?????????
- ????????
- ????????
- ???????
- ??????
- ?????????",?????????????????????? ????????? ?????????????????? ??????????????? ????????????????????????????????????????????? ? ???????????? ? ?????????? ??????????? ?????? 2 ??????????? ?????????????? ???????????????????????
???????????????,"- ?????????????????
- ????????? 1 ????
- ??????????? 1 ????
- ????????????????? 1/2 ??????? ?
- ???????????? 1/4 ??????
- ?????? 1/2 ??????
- ????????
- ??????????
- ????????????",???????????????? 2 ???? ??????????????????????? ??????????????????????????????????????????? ???????????????????? ?????????????????? ????????? ??????????????????????? ???????????????????????????????? ???????????????????????? ????????????????????????????? ??????????????? ??????????????????????????????????????????????????????? ???????????????????????????? ???????????????????????????? ??????????????????? ?????????????? ?????????????????????? ??????????????????????????????????????????????????????????? ????????????????????????
????????????????,"- ?????? 1 ????????
- ??????????? 2 ????????
- ???????????? 1 ????????
- ?????? 1 ????????
- ??????????????? 1 ????????
- ??????
- ?????
- ??????
- ??????????
- ??????????
- ????????????",????????????? ???????????????????????????????????????? ? ????????????????????????? ?????? ??????????????????????????????????? ????????? ??????????????????????? ???????????????????? ?????????????????????????? ????????????????? ???????????
????????????,"- ????????????????? 3 ???
- ????????????????????????? 3 ?????
- ?????????? 2 ????
- ????????????????? 5 ???



## ??????????????



- ???????????????? 3 ????
- ??? 10 ????
- ????????????? 1 ???
- ?????? 5 ???
- ??????? 3 ???
- ????????????? 10 ???
- ???????????? 2 ????????
- ???? 1 ??????",???????????????????? ????????????????????????? ?????????????????????????? ????????????????????????? ?????????????????????????????????? ???????????????? ??????????? ???????????????????????????????? ????????????????? 2 ??? ??????????????????????????????????? ????????????????? ???????????? ???????????? ? ???????????????????????????????????????????????????? ????????????????????????????????? ???????????
?????????,"- ?????????? 300 ????
- ????????????? (?????) 10 ????
- ?????????? 6 ????
- ?????????? 8 ????
- ????????? 10 ????
- ???????? 10 ????
- ?????????? 10 ????
- ???????? 2 ????
- ???????????????? 10 ????
- ????????????? 5 ????
- ????????????? 5 ????
- ????????????? 4 ????
- ????????? 4 ????
- ????????? 1 ????","1. ?????????????????????????????????????? ????????? ??????????? ? ??????????????????????????

2. ????????????????????????????????????????????????????????? ??????????????????????????

3. ?????????????????? ????????? ?????????????

4. ??????????? ?????????? ????????? 4-5 ????? ????????? ?????????????? ??????????? ???????????????????????????????????????????????????????????????????



?????: [https://web.facebook.com/Sumnakkaow.PRD/posts/696744839154523](https://web.facebook.com/Sumnakkaow.PRD/posts/696744839154523?_rdc=1&_rdr)"
????????,"- ??? 2 ???
- ?????? 1 ??????
- ?????? 1 ????????
- ?????? 3 ???","????????????? ????????????????????????????????????????????????????????????????????????? ???????????????????????????????? ??????????????????? ? ????????????????? ??????????????????????? ????????????????????? ?????????????????????????????????? ??????????????????????????????????? 2 ?????????????????????????? ?????????????????????????????? ? ??? ?????????????? ????????????



**????????** ??????????? ????????????????????????????? (???????????????????????????????????????????????????? ????????????????????????????????? ? ???????????????)



??????????????????????????????? ??????????????????????????? ?????????????????????????????????????????????????????? (????????) ??????????????????????????????????????????????????"
??????????????,"- ?????????????? ? ???????
- ??????? 2 ???
- ????????????????????? 1 ????????
- ???????????????????????????????????????? 2 ???????? (???????????????????????)
- ??????? 5 ????
- ????????????? 1 ????????
- ?????????????? 10 ???
- ???? 1/2 ??????
- ?????????? 5 ??
- ?????????? 2 ???
- ?????????? 2 ????
- ?????????
- ????????
- ?????
- ?????????",????????????????????????????????? ?????????????????? ?????????? ?????? ???????? ??????? ??????????????????????????????? ???????? (????????????) ??????????????????????????????????? ????????????????????? ?????????? ????????????????????????????????? ???????? ???????????????? ?????? ???????????????? ???????????????????????????? ?????????????
???????????????,"- ?????????? 20 ???
- ??? 2 ????
- ???????????? 3 ????
- ?????? 1/2 ??????
- ??????
- ?????
- ?????????? ??????????????
- ?????
- ??????",????????????? (????????????????????????) ?????? ??????????????? ??????????????? ????????????????? 2 ???? ???????????????????????? ?????????????????????????????? ?????????????????????????????????????? ?????????????? ??????????????? ??????????? ????? ??????????????????? ??????????? ????????? ?????? ???????
????????,"- ????? 1 ??????
- ??? 2 ??????
- ??????????????????????????? 1 ????????
- ???? 1/2 ??????
- ??????? 5 ????
- ?????? 3 ????
- ??????","????????????????????????????????? ??????? ?????? ?????????????????????? ????????????? ??????????????????????????? ?????????? ????????????? ?????? ????



**????????** ??????????????????????? ????????????????????????? ????????????????????????? ???????????????????????? 1 ??? ??????? ????????????????????????? (??????????????????????????? ??????????????????????????????????) ????????????? ????????????????? ???????????????????? ? ??????????? ???????????"
??????????????????,"- ???????? ??????????? 1 ??????
- ???????????????????? ???? ???????? ?????????? ?????????????? 1/2 ??????
- ??????? 3/4 ??????
- ??? 2 ??????
- ?????? 3 ????
- ???????? 5 ???
- ??????? 5 ????
- ???????? 2 ???",??????????????? ???????????? ??????? ???????????????? ???????????????? ???????????????????? ???????????? ?????????????? ?????????????????????? ????????????????? ????????????????????????????? ????????????????????????????????????
???????,"- ???????????????????? 1/2 ????
- ?????????????? (???????????) 1 ????
- ??????? 15 ????
- ???????? 1/2 ????
- ????????????????? (??????????) 2 ????
- ?????????????? 1 ???????????
- ???????????????? 1 ????????
- ????????? 1 ????????
- ??????????????? 1 ???????????
- ????????
- ?????
- ?????????????????????
- ????????????????????????
- ???????????? 3 ???","????????????? 2-3 ??????? ????????? ??????????? ????????????? ????????????? ????????????????? ?????????????????? ??????????????????????????? ???????????????????????????????????????????????????? ?????????????????????????????? ????? ????????????????????????????? ????????????????????? ??????????????????????????? ??????????????????? ???? ???? ????????????????? ??????????????? ???????????????????????? ????????? ?????????? ????????????????????????????????? ????????????????????????????? ????????? ???????? ???? 3 ?????????????? ? ??????????????????????????????????????????



## ??????????????



?????????????????????? 1 ????????? ????????? ??????????????????????????????????? 1 ????? ?????????????? 4 ??????????? (????????????) ??????????????????????????? ?????????????????????????????????????"
????????????????,"- ????????????????????? 2 ???
- ??????? 2 ???
- ??????????? 5 ???
- ???????? 4 ????
- ???????? 5 ???
- ??????? 5 ????",??????????????????????? ??????????????????????????????????????????????? ???????????????????????????? ???????????????????????????????? ??????????????? ? ???? 2 ????????? ??????????? ???????????? ?????????????????????????????????? ????????????????????????????? ??????????? ???????? ??????? ?????????? ????????????????????????? 2 ??? ??????????????? ???????????? 2 ???? ???????????????????????????????? ? ?????? ????????? ??????????????????????????????????????????????????????? ?????????????? ???????????? ? ??? ????????????? ??????????????????????
????????????,"- ??????????????? 1 ??
- ??????????? 2 ????????
- ???????????????? ? ???????????????????? 2 ????????
- ???????? (???????????? ? ?????????????) 5 ????
- ??????? 5 ?????
- ????????????? ? ??????? 1 ????????
- ?????????? (??????????????????????) 2 - 3 ???
- ?????????
- ????????
- ?????",?????????? (?????????????????????) ?????????????????????????????????????????????????????????? ???????????? (???????????????) ???????????????? ???????????????????????????????????????????? (??????????????????????????) ????????????????? ???????????????????????????????????? ??????????? ??????????????????????? ? ????????????????? ? ?????????????????????????????????????????????????? ??????????? ?????????????????????????????????????????? ??????????????????? ?????? ?????? ?????????????????????????????????????? ????????????????????????????? ????????????? ??????????????????????????????? ???????????????????????????? ?????????????????? ????????????????????????????????????????? ????????????????????????????????????????
?????????????????????,"- ????? 2 ???
- ????????????? 1/2 ????
- ?????????? (?????????) 1/2 ???????
- ????????
- ????????","??????????????????????????????????????????????? ????????????????????????????????? ????????????????????? ?????????????? 1/2 ??????? ?????????????????? ??????????????????????????????????????????? ??????? ???????? ??????????????????????????????? ?????????????????? ?????????????????????????? ???????????????????



**????????** ?????????????????? ????????????????????????"
????????,"- ???????????????? ??????????????? ??????????????? ? ???????????????????????????? 4 ??? ??????????????? ????????????? ??????? 2 ????
- ???????????? 5 ???
- ?????????????????????????????????? (??????????????????????????????? ?????????????????? ????????? ??????????? ????????????????)
- ??????","????????????? 2 1/2 ?????? (?????????????????????????????) ????????????????????? ????????? ????????????????? ???????????????????????? ?????????????????????????????? ? ??????? ? ??????????? ???????????????? ????????????????? ??????????????????? ????????????????????????? ?????????????????? ?????????????????????????? ????????????????????? ?????????????? ?????????????? ?????????????????????????



**????????** ??????????????? ??????????????????? ? ???????????????????????????????????? ???????????????????????? 2 ???"
??????????????,"- ???????? 10 ????
- ?????? 1 ????
- ??????????? 1 ????
- ???????? 1 ??? (???????)
- ??????? 1 ????????
- ??????? 1 ????
- ???????? 1 ???? (????????)
- ????? 1 ???????
- ??????? 1 ????
- ??????????? 1 ????
- ??????????? 1 ????
- ??????????? 1 ????
- ???????? 1/2 ????
- ????? 1/2 ????
- ??????????
- ?????????
- ??????
- ?????","????????????????????? ? ??????????????? ???????????????????????????????????????????????????? ???????????????????????????????????????? ??????????????????????????????????????????????? ?????????????????????????????????? ????????? ?????? ????? ?????? ??????????????????????????????????? ??????????????????????????????? ???????????????????????????????? ? ???? ? ??????? ??????????????????????? ??????????????????????????????? ???????????????????? ??????????????????? ? ????????????????



????????????????????????????????????? ?????????????????????????? ?????????????? ??????????????????????????????? ???????????????????????? (??????????????????????????????? ? ???????????????? ? ?????????????)"
????????????,"- ??????????? 1 ???????????
- ????????????????? 2 ???
- ??? 1 ???
- ?????? 2 ????
- ???????? 3 ????
- ????????? 1 ????????","?????????? ? ???? 2*3 ????????? ?????????????????????????????????????? ?????? ???????? ???????????????? ??????????????? ?????? ????????????????? ??????????????? ???????????????????????????????????????????????????????? ?????????? ???????????????? ???????????????????????????????????????? ?????????? ?????? 1 ???????? ????????? ?????????????????



**????????** ????????? ???????? ????????? ?????????????????????????????? ???????????????????????????? ??????????????????????????? ???????????????????????"
????????????????,"- ???????????????????? 2 ??? ??????????? 1 ???
- ??????????? 1 ???????????
- ??? 1 ???
- ????????? 2 ????????
- ???????? 3 ????
- ??????????",??????????? 2*3 ????????? ????????????????????????????????????????????????????????????? ? ?????????????????????????????? ???????????????? ??????????????? ? ??? ????????????????????????????????? ????????????????????????????????? ?????????? ??????????????????????????????? ????????????????????????????????????????? ??????????????????
??????????,"- ????????? 4 ???
- ??????? .300 ????????
- ???????? (????????????) 1 ????
- ?????????? 1 ??? (????????????????????????????????????? 1 ???)
- ??????????????? 1 ??
- ????????? 1 ??????
- ?????????
- ?????
- ???????","??????? 3 ????????????????????????????????????????????? 10 ?????????? ?????????????????????????????? ????????????? ? ????????????????? ??????????? ? (????????????????) ??????? ???????????? 3 ???? ????????????? ???????????????????????? ? ?????? ???? 0.5*0.8 ????????? ????????? ???????????? ???????????? ??? 1/2 ???????? ????????????? ????????????????? ?????????????????????????????????????? ? (?????? ? ??? ?) ?????????????????? ?????????????????????????? 1 ???????? ??????????????????????????????? ?????????????????????????????????????????????????? ? ????????????? 3 ??????? ??????????????????????????????? 2 ?????? ??????????????? ??????? ???????????????????? ????????????????? ???????????????????????????? ??????????????????????? ?????????????????????? 3 ???? ?????????????????????????? ?????????? (??????????? 1 ???) ???????????????????????????????????????????? ???????????????????????????? (????????????????????????????????? ????????????????????) ??????????????? ?????????????????????????????????????????????? ?????????????????????????????????????????????????? ?????????????????????????????????? ?????????????????????????????????????? ? ????????? 1.5 ????????? ?????????????????????????????????????????



**************????????************** ????????????????????????



1. ??????????????????? ? ????? ????????????????????

2. ???????????????? ? ????????????

3. ?????????????????????????????????? ? ?????"
?????????????????????,"- ?????? 1 ???
- ?????????????????????????
- ??????????? 2 ???
- ????????????????? 2 ???????????
- ??????????? ?????????????????????
- ?????????? (????????????????) 1 ????????
- ??????
- ??????
- ?????
- ?????
- ???????",?????????????????????? ??????????????????????????????????? ?????????????? ??????? ? ???????????????????????? ???????????????? ? ????????????? ? ?????????????????????????????? ??????????????????????????? 2 ???? ????????????????????? ????????????????????? ?????????????? ??????????????? ? ???????? 1-2 ????? ??????????????????????????????????? ???????????????????????????????????????? ?????? ?????? ????? ??????????? ????????? ???????? ??????????????
???????,"- ??????? 9 ???
- ??????? 4 ????????
- ?????? 3 ???
- ???????? 1 ????
- ?????? 2 ????
- ???????? 1 ???
- ??? 2 ????
- ?????? 2 ??????
- ???????? 1 ??????
- ??????? 5 ????
- ????? 1 ??????
- ???????? 6 ???? ???? 5x7 ?????????",??????????????????????? ??????????????????????????????????????????????????????????????????????????? ???????????????????????? ???????????????????????? ???????????????????????????????????? 6 ??? ?????????????????????????????? ?????????????????? ????????????????????????????????????????????? ??????????????? ????????????????????????????????? 3 ???????????????????????? (????????????????) ???????????????????????????????? ??????????????????????????? ????????? ??????????? ????????????????????????? 4 ????????????? ??????????????????????? ???????????????????????????????????????????? 4 ?.?. ????????????????????????????????????????????????? ??????????????????????????????????????????????????? ???????????????????? ?????????????????? 1 ??? ????????????? 15 ????
??????,"- ???????? (????????????????) 250 ????
- ???????? 500 ?????????
- ????????????? (????????????)",?????????????????????????????? 5 ?????????????????????????????????? ????????????????? 1/2 ???? ??????????????????? ? ??????????????????????? ? ??????????????? ???????? ???????? ? ?????????????????????????????????????? ???????????????????????????????????????? ???????????????????????????????????????? ???????? ??????????????? (?????????????????????????????????????????)
?????????,"- ???????? 1/2 ????????
- ??????????? 2 ??????
- ?????????? 2 ????????
- ??????? 2 ????????
- ?????????? 2 ????????
- ??????? 1 ??????
- ????? 1 ????????
- ???????? 2 ????????
- ??????????? ????? ?????? ????????
- ????????? 2 ????????","????????????????????????????????? ??????????????? ?????????????????????? ?????????? ??????????????????????????? ???????????????????????????????????????????????????????????????? ????????????????????? ???????????????????????????? ????????????????????????????????????????? ??????????????? ??????????????????????????????????????????????????? ?????????????????????????????????????????????? ???????????????????????????????????????????????? ?????????????????????????????????????????????????



**???** ?????? ????? ??????



**???????** ???????? ?????? ????????????????????????"
???????,"- ??? 1 ???
- ???????????????? 1 ???????????
- ??????????????????????? 2 ????????
- ?????
- ??????? (????????????? ??????????????????????????)","?????????????????????? ????????????????????????? 2 ???? 3 ??????? ????????? ????????????????????????? ??????????????????????????????????????????????? ???????????????????????????? (???????????????) ?????????? 20 ????



**????????** ????????????????????????? ???????????? ?????????????????????????????????"
??????????,"- ??????? 1 ??? ??????? 5 ?????????
- ??????????????
- ??????
- ???????? 7 ???
- ???????? 5 ????
- ??????? 7 ????
- ????????? 1 ????????","??????????????????? ?????????????????? ??????????????????? ???????????????????????????????????????? ??????????????? 1 ???????? ??????????????????????? (?????????????) ????????????????? 1 ?????? ????????????????????????????? ????? ??????????????????????????????????????????????? ??????????????? 1 ???????? ???????????? ????????????? ?????????????????????????????? ??????????? ??????????????????????? ??????????????



**????????** ????????????? ?????????????????? ??????????????? ?????????????? ?????????????????????????"
?????????????,"- ????????????? ? 20 ???
- ??????????
- ??????? 5 ????
- ????????????? 2 ????????
- ?????????????? 1/2 ??????
- ???? 1/2 ??????
- ????????
- ??????
- ??????
- ????????
- ?????????",????????????? ? ????????? ???????????????????????????? ??????????????????????????? ??????????????????????????????????????????? ????????? ???????????????? 2 ?????? ?????????????????????????????????????????????????????????????????? ?????????????????????????????? 3 ????????? ???????????????????????? ??????????????????? 2 ???????????????????????? ???????????????????????????????????????????????????? ???????????????????? ????????????? ??????????????????????????????? ????????? ????????? ?????? ?????? ??????????? (?????????????????????????????????????????????????) ????????????????????????????
??????????,"- ??????????????????? 1/2 ??????
- ??????? 3 ???
- ?????? 5 ???
- ?????????
- ??????????
- ??????????
- ????????
- ??????
- ?????",???????????????????????????? (?????????????) ???????????????????????????? ??????????????????? ??????????????? ? ?????????????????????? ???????????????????????????????????????????? ? ????????????????????????????????????????????? ? ????????????????????????? ?????? ????? ???????? ??????????????????? ???????????????????????
???????,"- ????? 5 ????
- ??????????? 1 ???????????
- ??????? 1 ????????
- ??????????
- ??????",?????????? ??????????? ?????????????? ? ??????????????????????????????? ? ?????? ?????????????? ???????? ???????????????????????????????? ??????
??????????,"- ??? 3 ???
- ?????? 8 ???????? (1/2 ??????)
- ??? 1 1/2 ??????
- ???????? 1 ???? ??? 3 ?????????",????????????????????????????????? ?????????????????????????????????????????????? ???????????????????????????????????????????????? ???????????????????????????????????????????????????????????? ????????????????? ?????????????????????????? ????????????????????????????????????????????????????????????????????????????? ???????????????????????????????????? ??????????????????????? 2 ???? ???????????? ??????????????????
?????????,??????,????????????? ?????????????? ?????????????????????????????????? 2.50 ????????? ????????????????????????????? (??????????????) ???????????????????????????????????? ????????????????????????????????????? ? ?????? (??????????????????????) ???????????? ???????? ??????? ????????? ????????????????????????????????
?????????????????,"- ??????? 3 ???
- ??????? 1 ??????
- ??? 2 ??????
- ?????? 2 ???
- ???????? 3 ??
- ?????? 10 ???
- ????? 2 ?? (????????????? ???????????????? 2 ???)
- ??????
- ???????
- ???????? 5 ???
- ??????? 5 ????","??????????????????? ? ????????????????????????? ?????????????????????? ????????????? (8 ???) ??????????????????????????? ??????? ?????? (2 ???) ???????????????????????????? ???????????? ?????????? ?????? ????? ?????? ????????????? ??????????? ???????????????? ???????????? ??????????? ?????? ????????????????? ????????? ??????????



**????????** ?????????? ??????????????????????????????????????? ???? ??????????? ?????????????????????????????????????????????????????????? ??????????????????"
????????????????,"- ????????????????????????????????? 6 ??
- ??????????????????? 1 1/2 ????
- ?????????????????????? ? 1 ????
- ???????????????????????????????? 1 ????
- ???????????????? 1 1/2 ????
- ??????????
- ????????
- ??????????
- ?????????????????
- ??????? 2 ???
- ????????? 3 ????????
- ??????? 5 ???","??????????????????????????????????????????????????????????????????????????????????? ??????????????????????????????????????????????????????????? ??????????????????? ??????????????????????? ????????????????????????? ???????????????????????????????????????????????? ???????????????????????????????? ???????????? ??????????????? ??????? ?????????????? ????????????????????????? ????????????????????????? ???????????????????????????????? ??????????????????????????????????????????????????????????????????? 10 ???? ?????????????? ????



????????????? ??????????????????????? ?????????????????????????????????? ???????????????????? ???????? ??????????????? ????????????? ???????????????????????????? ?????????????????????? ? ?????????????????????????????? ?????????????????????????????????????????????? ???????????????????????? ????????????????? ???????????????????"
??????????????????????,"- ????????????????? 1 ???? ?????????????? ? 1 ???
- ??????????????????? 2 ????????
- ??????????? 3 ???
- ?????????????????????
- ??????????",???????????????????????????????? ?????????????????????????????????? ??????????????????????? ??????????????? ??????????????? ??????????? ????????????????????? ???????????????? ???????????????????????????? ? ?????????
???????????????,"- ????????? 30 ???
- ?????? 2 ???????
- ???????? 2 ??????? (??????????????????????????? ?)
- ??????? 6 ????
- ??????
- ??????
- ??????
- ?????????","???????????????????? ???????????????????????????????? ????????????????????????? ? ?????????????????????????????????? ??????, ??????, ?????? ????????????????????? ???????????????????????????????????????????? ?????????????? ??????????????????????????????? ????????? ?????? ??????????????? ???????????? ?????????????????????????????????????? ?????????????????? (???????????????????????? ???????????????)"
???????????,"- ???????????? 1 ??????
- ??? 2 ???
- ???????? 1/2 ??????
- ???????? 1 ????????
- ???????????? 1 ??????
- ????? 1 ??????
- ??????????????? ? 1/2 ??????
- ????????????? 1 ??????
- ????? 2 ????????
- ??????? 2 ??????",????????????? ??????? 2 ?????? ????? ????? ?????? ??? ????????????????????????? ????????????????? ???????????????????????? ??????????????????????????????????? ??????????????????????? 1 ?? ??????????????????????????? ??????????????????? ??????????????????????
